1,Lifehouse,Hanging By A Moment
2,Alicia Keys,Fallin
3,Janet,All For You
4,Train,Drops Of Jupiter (Tell Me)
5,Jennifer Lopez feat. Ja Rule,Im Real
6,matchbox twenty,If Youre Gone
7,Eve feat. Gwen Stefani,Let Me Blow Ya Mind
8,Dido,Thank You
9,Lenny Kravitz,Again
10,Destinys Child,Independent Women Part I
11,Blu Cantrell,Hit Em Up Style (Oops!)
12,Shaggy feat. Ricardo RikRok Ducent,It Wasnt Me
13,Joe feat. Mystikal,Stutter
14,Staind,Its Been Awhile
15,Usher,U Remind Me
16,Jagged Edge With Nelly,Where The Party At
17,Shaggy feat. Rayvon,Angel
18,Nelly feat. City Spud,Ride Wit Me
19,Uncle Kracker,Follow Me
20,112,Peaches & Cream
21,Incubus,Drive
22,City High,What Would You Do?
23,Destinys Child,Survivor
24,Christina Aguilera, Lil Kim, Mya and Pink,Lady Marmalade
25,Outkast,Ms. Jackson
26,Jennifer Lopez,Love Dont Cost A Thing
27,Faith Hill,The Way You Love Me
28,Dream,He Loves U Not
29,Crazy Town,Butterfly
30,Ja Rule feat. Lil Mo and Vita,Put It On Me
31,Mary J. Blige,Family Affair
32,Lee Ann Womack and Sons Of The Desert,I Hope You Dance
33,Moby feat. Gwen Stefani,South Side
34,Madonna,Dont Tell Me
35,Missy Misdemeanor Elliott,Get Ur Freak On
36,K-Ci and JoJo,Crazy
37,Craig David,Fill Me In
38,Janet,Someone To Call My Lover
39,Creed,With Arms Wide Open
40,Mya,Case Of The Ex (Whatcha Gonna Do)
41,O-Town,All Or Nothing
42,Destinys Child,Bootylicious
43,Nelly Furtado,Im Like A Bird
44,3 Doors Down,Kryptonite
45,R. Kelly feat. Jay-Z,Fiesta
46,Sugar Ray,When Its Over
47,Aerosmith,Jaded
48,Jagged Edge,Promise
49,Case,Missing You
50,Ginuwine,Differences
51,N Sync,This I Promise You
52,Jay-Z,Izzo (H.O.V.A.)
53,Lil Mo feat. Fabolous,Superwoman Pt. II
54,Evan And Jaron,Crazy For This Girl
55,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely
56,Jay-Z,I Just Wanna Love U (Give It 2 Me)
57,Missy Misdemeanor Elliott,One Minute Man
58,Mystikal feat. Nivea,Danger (Been So Long)
59,Enya,Only Time
60,Toya,I Do!!
61,S Club 7,Never Had A Dream Come True
62,Tamia,Stranger In My House
63,Jessica Simpson,Irresistible
64,Sunshine Anderson,Heard It All Before
65,Dave Matthews Band,The Space Between
66,Faith Hill,There Youll Be
67,Musiq Soulchild,Love
68,112,Its Over Now
69,3LW,No More (Baby Ima Do Right)
70,Nelly Furtado,Turn Off The Light
71,Brooks and Dunn,Aint Nothing `Bout You
72,Jennifer Lopez,Play
73,Lonestar,Im Already There
74,Lil Romeo,My Baby
75,U2,Beautiful Day
76,Blake Shelton,Austin
77,Ludacris,Southern Hospitality
78,Tim McGraw,Grown Men Dont Cry
79,Ja Rule feat. Case,Livin It Up
80,Mariah Carey feat. Cameo,Loverboy
81,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious
82,Jessica Andrews,Who I Am
83,Erick Sermon feat. Marvin Gaye,Music
84,Willa Ford,I Wanna Be Bad
85,Kenny Chesney,Dont Happen Twice
86,Diamond Rio,One More Day
87,R. Kelly,I Wish
88,Travis Tritt,Its A Great Day To Be Alive
89,Trick Daddy,Im A Thug
90,Eve 6,Heres To The Night
91,Toby Keith,You Shouldnt Kiss Me Like This
92,Edens Crush,Get Over Yourself
93,Debelah Morgan,Dance With Me
94,Outkast,So Fresh, So Clean
95,Nelly,E.I.
96,3 Doors Down,Be Like That
97,Pink,Most Girls
98,QBs Finest feat. Nas and Bravehearts,Oochie Wally
99,Enrique Iglesias,Hero
100,Fuel,Hemorrhage (In My Hands)
